experiment_name,FractionID,FractionOrder
HEKR_SEC2,RNaseA_HEK_SEC_012318_42a,33
HEKR_SEC2,RNaseA_HEK_SEC_012318_17a,8
HEKR_SEC2,RNaseA_HEK_SEC_012318_52a,43
HEKR_SEC2,RNaseA_HEK_SEC_012318_50a,41
HEKR_SEC2,RNaseA_HEK_SEC_012318_51a,42
HEKR_SEC2,RNaseA_HEK_SEC_012318_65a,56
HEKR_SEC2,RNaseA_HEK_SEC_012318_60a,51
HEKR_SEC2,RNaseA_HEK_SEC_012318_61a,52
HEKR_SEC2,RNaseA_HEK_SEC_012318_57a,48
HEKR_SEC2,RNaseA_HEK_SEC_012318_64a,55
HEKR_SEC2,RNaseA_HEK_SEC_012318_68a,59
HEKR_SEC2,RNaseA_HEK_SEC_012318_70a,61
HEKR_SEC2,RNaseA_HEK_SEC_012318_11a,2
HEKR_SEC2,RNaseA_HEK_SEC_012318_10a,1
HEKR_SEC2,RNaseA_HEK_SEC_012318_14a,5
HEKR_SEC2,RNaseA_HEK_SEC_012318_15a,6
HEKR_SEC2,RNaseA_HEK_SEC_012318_13a,4
ARATH_IEX1,Athaliana_sproutsWWC_05a_02182017,5
ARATH_IEX1,Athaliana_sproutsWWC_10a_02202017,10
ARATH_IEX1,Athaliana_sproutsWWC_30a_02192017,30
ARATH_IEX1,Athaliana_sproutsWWC_08a_02192017,8
ARATH_IEX1,Athaliana_sproutsWWC_19a_02192017,19
ARATH_IEX1,Athaliana_sproutsWWC_20a_02192017,20
ARATH_IEX1,Athaliana_sproutsWWC_21a_02202017,21
ARATH_IEX1,Athaliana_sproutsWWC_22a_02202017,22
ARATH_IEX1,Athaliana_sproutsWWC_23a_02202017,23
ARATH_IEX1,Athaliana_sproutsWWC_24a_02202017,24
ARATH_IEX1,Athaliana_sproutsWWC_17a_02192017,17
ARATH_IEX1,Athaliana_sproutsWWC_11a_02202017,11
ARATH_IEX1,Athaliana_sproutsWWC_55a_02192017,55
ARATH_IEX1,Athaliana_sproutsWWC_04a_02182017,4
ARATH_IEX1,Athaliana_sproutsWWC_25a_02172017,25
ARATH_IEX1,Athaliana_sproutsWWC_26a_02182017,26
ARATH_IEX1,Athaliana_sproutsWWC_27a_02182017,27
ARATH_IEX1,Athaliana_sproutsWWC_50a_02182017,50
ARATH_IEX1,Athaliana_sproutsWWC_47a_02202017,47
ARATH_IEX1,Athaliana_sproutsWWC_44a_02202017,44
ARATH_IEX1,Athaliana_sproutsWWC_14a_02182017,14
ARATH_IEX1,Athaliana_sproutsWWC_15a_02182017,15
ARATH_IEX1,Athaliana_sproutsWWC_16a_02182017,16
ARATH_IEX1,Athaliana_sproutsWWC_09a_02202017,9
ARATH_IEX1,Athaliana_sproutsWWC_38a_02182017,38
ARATH_IEX1,Athaliana_sproutsWWC_39a_02182017,39
ARATH_IEX1,Athaliana_sproutsWWC_40a_02182017,40
ARATH_IEX1,Athaliana_sproutsWWC_41a_02192017,41
ARATH_IEX1,Athaliana_sproutsWWC_49a_02172017,49
ARATH_IEX1,Athaliana_sproutsWWC_52a_02182017,52
ARATH_IEX1,Athaliana_sproutsWWC_48a_02202017,48
ARATH_IEX1,Athaliana_sproutsWWC_28a_02182017,28
ARATH_IEX1,Athaliana_sproutsWWC_35a_02202017,35
ARATH_IEX1,Athaliana_sproutsWWC_42a_02192017,42
ARATH_IEX1,Athaliana_sproutsWWC_43a_02192017,43
ARATH_IEX1,Athaliana_sproutsWWC_18a_02192017,18
ARATH_IEX1,Athaliana_sproutsWWC_29a_02192017,29
ARATH_IEX1,Athaliana_sproutsWWC_45a_02202017,45
ARATH_IEX1,Athaliana_sproutsWWC_58a_02202017,58
ARATH_IEX1,Athaliana_sproutsWWC_31a_02192017,31
ARATH_IEX1,Athaliana_sproutsWWC_12a_02202017,12
ARATH_IEX1,Athaliana_sproutsWWC_01a_02172017,1
ARATH_IEX1,Athaliana_sproutsWWC_03a_02182017,3
ARATH_IEX1,Athaliana_sproutsWWC_54a_02192017,54
ARATH_IEX1,Athaliana_sproutsWWC_57a_02202017,57
ARATH_IEX1,Athaliana_sproutsWWC_33a_02202017,33
ARATH_IEX1,Athaliana_sproutsWWC_34a_02202017,34
ARATH_IEX1,Athaliana_sproutsWWC_36a_02202017,36
ARATH_IEX1,Athaliana_sproutsWWC_37a_02172017,37
ARATH_IEX1,Athaliana_sproutsWWC_46a_02202017,46
ARATH_IEX1,Athaliana_sproutsWWC_51a_02182017,51
ARATH_IEX1,Athaliana_sproutsWWC_53b_02212017,53
ARATH_IEX1,Athaliana_sproutsWWC_59a_02202017,59
ARATH_IEX1,Athaliana_sproutsWWC_56a_02202017,56
ARATH_IEX1,Athaliana_sproutsWWC_07a_02192017,7
ARATH_IEX1,Athaliana_sproutsWWC_06a_02192017,6
ARATH_IEX1,Athaliana_sproutsWWC_13a_02172017,13
ARATH_IEX1,Athaliana_sproutsWWC_32a_02192017,32
ARATH_IEX1,Athaliana_sproutsWWC_60a_02202017,60
ARATH_IEX1,Athaliana_sproutsWWC_02a_02172017,2
ARATH_IEX2,Athaliana_seed_IEX_62a_03222017,57
ARATH_IEX2,Athaliana_seed_IEX_64a_03232017,59
